Item,lockerName,deploymentDate,buildingType,zh_HK.region,zh_HK.district,zh_hk.street,zh_HK.streetNumber,zh_HK.building,zh_HK.floor,zh_HK.description,en.description,en.floor,en.building,en.streetNumber,en.street,en.district,en.region,clubhouse,nickname,kiosk,boxes,availability,accessible,certificateId:,csNumber,
28,NewJadeGarden,"December 13, 2016",住宅,香港,柴灣,柴灣道,233號,新翠花園,,新翠花園4座泵房則(平台),"Block 4, Podium",,New Jade Garden,233,Chai Wan Road,Chai Wan,Hong Kong,N,Jade,L,36,24,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
29,OiManPlaza,"December 14, 2016",商場,九龍,何文田,忠孝街,60號,愛民商場,1樓,八方雲集餃子店旁邊,next to 8way dumpling restaurant,1/F,Oi Man Plaza,60,Chung Hau Street,Ho Man Tin,Kowloon,N,Edmond,R,36,7:00-23:00,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
30,FuCheongShoppingCentre,"December 14, 2016",商場,九龍,深水埗,深旺道,,富昌商場,1樓,42號鋪位旁邊,next to shop 42,1/F,Fu Cheong Shopping Centre,,Sham Mong Road,Sham Shui Po,Kowloon,N,Fox,L,36,7:00-23:00,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
31,HungHomFerryPier,"December 14, 2016",交通樞紐,九龍,紅磡,華信街,,紅磡碼頭,1樓,,,1/F,Hung Hom Ferry Pier,,Wa Shun Street,Hung Hom,Kowloon,N,Humphrey,R,36,24,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
32,711-0390,"January 18, 2017",便利店,九龍,土瓜灣,北帝街,24-24A,,地下,7-11便利店,7-Eleven,G/F,,24-24A,Pak Tai Street,To Kwa Wan,Kowloon,N,Betty,,13,24,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
33,711-1356,"January 18, 2017",便利店,九龍,佐敦,柯士甸道,106號,耀基大樓,地下,7-11便利店,7-Eleven,G/F,Yiu Kei Mansion,106,Austin Road,Jordan,Kowloon,N,Yuki,,13,24,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
34,711-0001,"January 18, 2017",便利店,香港,跑馬地,黃泥涌道 ,15號,常德樓,地下,7-11便利店,7-Eleven,G/F,Winner House,15,Wong Nai Chung Road,Happy Valley,Hong Kong,N,Winnie,,13,24,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
35,ComwebPlaza,"January 19, 2017",工商大廈,九龍,長沙灣,長裕街,12號,經達廣場,,停車場環保回收筒側,Next to the recycle bin in the Car Park,,Comweb Plaza,12,Cheung Yue Street,Cheung Sha Wan,Kowloon,,Kinda,R,36,,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
36,CheungLungIndustrialBuilding,"January 19, 2017",工商大廈,九龍,長沙灣,長義街,10號,昌隆工業大廈,,Lift大堂,Lift lobby,,Cheung Lung Industrial Building,10,Cheung Yee Street,Cheung Sha Wan,Kowloon,,Cherry,R,18,,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
37,SkyOne,"January 19, 2017",住宅,新界,沙田大圍,銅鑼灣山路,18號,雲頂峰,,平台會所汽水機旁,Next to the vending machine in Club House on podium,,Sky One,18,Tung Lo Wan Hill Road,Sha Tin-Tai Wai,New Territories,Y,Sky,R,36,,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
38,SunTuenMunCentre,"January 20, 2017",商場,新界,屯門,龍門路,55-65號,新屯門中心,1樓,商場1樓,Shopping Centre 1/F,1/F,Sun Tuen Mun Centre,55-65,Lung Mun Road,Tuen Mun,New Territories,,Sandy,R,36,,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
39,ProficientIndustrialCentre,"January 21, 2017",工商大廈,九龍,九龍灣,宏冠道,6號,鴻力工業中心,,Lift大堂,Lift lobby,,Proficient Industrial Centre,6,Wang Kwun Road,Kowloon Bay,Kowloon,,Henry,R,36,,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
