Item,Locker Name,Deployment Date,Building Type,地址,,,,,,,Address in English,,,,,,,Club House,Nickname,Locker Type,,Availability,Publicly Accessible,Serial No.,Key,SIM Card Number,Deployment,,,,Sticker Requirement
,,,,地域,地區,街道名稱,街道門牌,樓宇名稱,樓層,單位/描述,Description,Floor,Building,Street No.,Street,District,Region,,,Kiosk,Boxes,,,,,,Camera,,Wall Mount,Rain Cover ,
8,LongPingEstateCommercialCentre,12/6/16,商場,新界,元朗,朗屏路,1號,朗屏商場,地下,巴士總站,Near Bus station,G/F,Long Ping Estate Commercial Centre,1,Long Ping Road,Yuen Long,New Territories,N,Robbie,R,54,7:00-23:00,Y,MDL28015,3528,8985207155208607320,DONE ,,,,
9,VillaPremiere,12/6/16,住宅,新界,元朗,鳳翔路,99號,朗怡居,,屋苑門口,Gate,,Villa Premiere,99,Fung Cheung Road,Yuen Long,New Territories,Y,Ronny,L,36,24,N,MDL28010,3215,8985207155208607313,DONE ,,,,
10,FuTaiShoppingCentre,12/7/16,商場,新界,屯門,屯貴路,9號,富泰商場,地下,停車場門口,Car Park Entrance,G/F,Fu Tai Shopping Centre,9,Tuen Kwai Road,Tuen Mun,New Territories,N,Freddie,R,36,7:00-23:00,Y,MDL28011,3501,8985207155208607339,,,,,
11,ButterflyPlaza,12/7/16,商場,新界,屯門,湖翠路,1號,蝴蝶商場,2樓,759對面,No.LK01 (opposite 759),Level 2,Butterfly Plaza,1,Wu Chui Road,Tuen Mun,New Territories,N,Butterfly,L,36,7:00-23:00,Y,,3206,8985207155208607347,,,,,
12,HandsomeCourt,12/7/16,住宅,新界,屯門,青山公路青山灣段,362-388號,恒順園,,平臺,Podium,,Handsome Court,362-388,Castle Peak Road (Castle Peak Bay),Tuen Mun,New Territories,N,Handsome,R,36,24,N,MDL28009,3207,8985207155208607329,DONE ,,,,
13,CheungHangShoppingCentre,12/8/16,商場,新界,青衣,寮肚路,,長亨商場,地下,酒樓對門,Opposite the restaurant,G/F,Cheung Hang Shopping Centre,,Liu To Road,Tsing Yi,New Territories,N,Charlie,R,36,7:00-23:00,Y,MDL28025,3505,8985207155208607325,,,,,
14,TsingYiEstate,12/8/16,住宅,新界,青衣,楓樹窩路 ,10號,青衣邨,,巴士站對面，管理處附近,Opposite Bus Station (near management office),,Tsing Yi Estate,10,Fung Shue Wo Road,Tsing Yi,New Territories,N,Joey,R,36,24,Y,MDL28014,3514,8985207155208607314,DONE ,,,,
15,HinKengShoppingCentre,12/8/16,商場,新界,大圍,車公廟道,69號,顯徑商場,地下,華潤超級市場附近, near Vanguard,G/F,Hin Keng Shopping Centre,69,Che Kung Miu Rd,Tai Wai,New Territories,N,Hayden,R,36,7:00-23:00,Y,MDL28017,3218,8985207155208607324,,,,,
16,BayviewGarden,12/9/16,住宅,新界,荃灣,青山公路荃灣段,633號,灣景花園,,平臺,Podium,,Bayview Garden,633,Castle Peak Road (Tsuen Wan),Tsuen Wan,New Territories,N,Wendy,R,36,24,N,MDL28008,3219,8985207155208607328,DONE ,,,,
17,TaiWoPlaza,12/9/16,商場,新界,大埔,太和路,12號,太和商場,1樓,1/F,,1/F,Tai Wo Plaza,12,Tai Wo Road,Tai Po,New Territories,N,Terry,R,54,7:00-23:00,Y,MDL28024,3504,8985207155208607336,DONE ,,,,
18,LekYuenPlaza,12/12/16,商場,新界,沙田,瀝源街,6號,瀝源廣場,,汽水機旁邊,Next to vending machine,,Lek Yuen Plaza,6,Lek Yuen Street,Sha Tin,New Territories,N,Lilian,L,18,7:00-23:00,Y,MDL28021,3507,8985207155208607333,DONE ,,,,
19,HengOnShoppingCentre,12/12/16,商場,新界,馬鞍山,恆錦街,1號,恆安商場,,惠康對面,Opposite Wellcome,,Heng On Shopping Centre,1,Hang Kam Street,Ma On Shan,New Territories,N,Hannah,R,36,7:00-23:00,Y,MDL28018,3512,8985207155208607312,DONE ,,,,
20,GrandPromenade,12/13/16,住宅,香港,西灣河,太康街,38號,嘉亨灣,,嘉亨灣正門24小時行人通道,Gate Walkway,,Grand Promenade,38,Tai Hong Street,Sai Wan Ho,Hong Kong,Y,Gaven,L,36,24,Y,MDL28019,3527,8985207155208607345,,,,,
21,AldrichGarden,12/13/16,住宅,香港,筲箕灣,愛禮街,2號,愛蝶灣,,愛蝶灣5座,Block 5,,Aldrich Garden,2,Oi Lai Street,Shau Kei Wan,Hong Kong,N,Eddie,R,36,24,N,MDL28023,3518,8985207155208607337,,,,,
22,NewJadeGarden,12/13/16,住宅,香港,柴灣,柴灣道,233號,新翠花園,,新翠花園4座泵房則(平台),"Block 4, Podium",,New Jade Garden,233,Chai Wan Road,Chai Wan,Hong Kong,N,Jade,L,36,24,N,MDL28020,3520,8985207155208607340,,,,,
23,OiManPlaza,12/14/16,商場,九龍,何文田,忠孝街,60號,愛民商場,1樓,八方雲集餃子店旁邊,next to 8way dumpling restaurant,1/F,Oi Man Plaza,60,Chung Hau Street,Ho Man Tin,Kowloon,N,Edmond,R,36,7:00-23:00,Y,MDL28005,3210,8985207155208607334,,,,,
24,FuCheongShoppingCentre,12/14/16,商場,九龍,深水埗,深旺道,,富昌商場,1樓,42號鋪位旁邊,next to shop 42,1/F,Fu Cheong Shopping Centre,,Sham Mong Road,Sham Shui Po,Kowloon,N,Fox,L,36,7:00-23:00,Y,MDL28003,3216,8985207155208607332,,,,,
25,HungHomFerryPier,12/14/16,交通樞紐,九龍,紅磡,華信街,,紅磡碼頭,1樓,,,1/F,Hung Hom Ferry Pier,,Wa Shun Street,Hung Hom,Kowloon,N,Humphrey,R,36,24,Y,MDL28022,3511,8985207155208607323,DONE ,,,,
26,711-0390,1/18/17,便利店,九龍,土瓜灣,北帝街,24-24A,,地下,7-11便利店,7-Eleven,G/F,,24-24A,Pak Tai Street,To Kwa Wan,Kowloon,N,Betty,,13,24,Y,,1434,8985207155208607346,DONE ,,,,正面+右面
27,711-1356,1/18/17,便利店,九龍,佐敦,柯士甸道,106號,耀基大樓,地下,7-11便利店,7-Eleven,G/F,Yiu Kei Mansion,106,Austin Road,Jordan,Kowloon,N,Yuki,,13,24,Y,SDL23008,1441,8985207155208607357,DONE ,,,,正面+左面
28,711-0001,1/18/17,便利店,香港,跑馬地,黃泥涌道 ,15號,常德樓,地下,7-11便利店,7-Eleven,G/F,Winner House,15,Wong Nai Chung Road,Happy Valley,Hong Kong,N,Winnie,,13,24,Y,SDL23012,1435,8985207155208607316,,,,,正面
29,ComwebPlaza,1/19/17,工商大廈,九龍,長沙灣,長裕街,12號,經達廣場,,"停車場環保回收筒側
",Next to the recycle bin in the Car Park,,Comweb Plaza,12,Cheung Yue Street,Cheung Sha Wan,Kowloon,,Kinda,R,36,08:00-19:30,Y,MDL28046,3532,8985207155208607326,DONE ,,,,
30,CheungLungIndustrialBuilding,1/19/17,工商大廈,九龍,長沙灣,長義街,10號,昌隆工業大廈,,電梯大堂,Lift lobby,,Cheung Lung Industrial Building,10,Cheung Yee Street,Cheung Sha Wan,Kowloon,,Cherry,R,18,08:00-19:30,Y,MDL28030,3521,8985207155208607343,DONE ,,,,
31,SkyOne,1/19/17,住宅,新界,沙田大圍,銅鑼灣山路,18號,雲頂峰,,平台會所汽水機旁,Next to the vending machine in Club House on podium,,Sky One,18,Tung Lo Wan Hill Road,Sha Tin-Tai Wai,New Territories,Y,Sky,R,36,24,N,MDL28045,3513,8985207155208607353,,,,,
32,SunTuenMunCentre,1/20/17,商場,新界,屯門,龍門路,55-65號,新屯門中心,1樓,商場1樓,Shopping Centre 1/F,1/F,Sun Tuen Mun Centre,55-65,Lung Mun Road,Tuen Mun,New Territories,,Sandy,R,36,0700-23:00,Y,MDL28040,3523,8985207155208607338,DONE,,,,
33,ProficientIndustrialCentre,1/21/17,工商大廈,九龍,九龍灣,宏冠道,6號,鴻力工業中心,,電梯大堂,Lift lobby,,Proficient Industrial Centre,6,Wang Kwun Road,Kowloon Bay,Kowloon,,Henry,R,36,7:00-21:00,Y,MDL28035,3213,,,,,,
34,TheParcville,1/21/17,住宅,新界,元朗,元朗舊墟路,33號,采葉庭,平台,"平台, 汽水機側","Next to vending machine, Podium",Podium,The Parcville,33,Yuen Long Kau Hui Road,Yuen Long,New Territories,Y,,R,36,24,N,MDL28050,3509,8985207155208507359,,,,,
35,KingstonTerrace,1/21/17,住宅,新界,屯門,景新徑,2號,景新臺,平台,"平台, 順豐側","Next to EF-Express, Podium",Podium,Kingston Terrace,2,King San Path,Tuen Mun,New Territories,,Kinsey,R,36,24,N,MDL28037,3522,8985207155208607311,,,,,
36,KowloonCityFerryPier,1/23/17,交通樞紐,九龍,九龍城,,,九龍城碼頭,門口,碼頭出入口,Ferry Pier Entrance,Gate,Kowloon City Ferry Pier,,,Kowloon City,Kowloon,N,Kerry,L,18,0700-0700,Y,MDL28039,2512,,DONE ,,,,
37,HarbourPlace,1/23/17,住宅,九龍,紅磡,愛景街,8號,海濱南岸,平台,N1&N2升降機旁屋苑旁,Next to the house closed to LiftN1&N2,Podium,Harbour Place,8,Oi King Street,Hung Hom,Kowloon,Y,Haven,R,,24,Y,,3533,,,,,,
38,YeeFungGarden,1/23/17,住宅,新界,元朗,馬田路,38號,怡豐花園,平台,地下商場千之壽旁,Next to Yuen Long Sushi Restaurant in underground centre,Podium,Yee Fung Garden,38,Ma Tin Road,Yuen Long,New Territories,,Eva,L,36,24,Y,MDL28036,3515,,,,,,
39,GrandDelSol,1/23/17,住宅,新界,元朗,鳳翔路,100號,朗晴居,平台,"10座, 會所旁","Block 10, Next to Club House",Podium,Grand Del Sol,100,Fung Cheung Road,Yuen Long,New Territories,Y,Ranch,L,,24,N,MDL28049,3510,8985207155208607354,,,,,
40,TakTinEstate,1/24/17,住宅,九龍,藍田,碧雲道,223號,德田邨,,德田廣場1樓商場平台(近停車場升降機側),Next to the Lift of Car Park,1F,"Tak Tin Shopping Centre, Tak Tin Estate",223,Pik Wan Road,Lam Tin,Kowloon,,Duck,L,36,24,Y,MDL28033,3212,8985207155208607356,,,,,
41,Mikiki,1/24/17,商場,新界,新蒲崗,太子道東,638,MIKIKI,,商場B2,Shopping Centre B2,,MIKIKI,638,Prince Edward Road East,San Po Gong,New Territories,N,Mikiki,M,72,10:00-22:00,Y,MDL28038,3530,,,,N,N,全面
42,KwaiSingCentre,1/25/17,工商大廈,新界,葵涌,青山公路葵涌段,412-416號,葵星中心商場,平台,商場G/F 日本城旁 ,"Shopping Centre G/F, Next to Janpan City",Podium,"Kwai Sing Centre, Block B",412-416,Castle Peak Road- Kwai Chung,Kwai Chung,New Territories,,Queenie,L,18,07:00-22:00,Y,MDL28034,3516,,,,,,
43,MayfairGardens,1/25/17,住宅,新界,青衣,細山路,2-16號,美景花園,平台,"往車場中央樓梯旁
（第7座對出、大快活側）","Next to the central stairs to Car Park, Opposite Block 7, Next to Fairwood",Podium,Mayfair Gardens,2- 16,Sai Shan Road,Tsing Yi,New Territories,N,May,L,36,24,Y,MDL28042,3217,8985207155208607317,,,,,
44,711-0742,2/10/17,便利店,九龍,觀塘,駿業里 ,10 號,業運工業大廈,地下 ,A 舖位，7-11便利店,"7-Eleven, Shop A",G/F,Yip Win Factory Building,10,Tsun Yip Lane,Kwun Tong,Kowloon,,Evelyn,,13,,Y,SDL23005,,8985207155208607344,,,,,
45,711-0132,2/10/17,便利店,九龍,旺角,豉油街 ,60-104B號,鴻都大廈商場,地下 ,16 號舖，7-11便利店,"7-Eleven, Shop 16",G/F,"Concord Building, Shopping Arcade",60- 104B,Soy Street,Mong Kok,Kowloon,,Honda,,13,,Y,SDL23011,,8985207155208607358,,,,,
46,TinChakShoppingCentre,2/15/17,商場,新界,天水圍,天瑞路,,天澤邨天澤商場,1樓,商場1樓,Shopping Centre 1/F,,"Tin Chak Shopping Centre, Tin Chak Estate",,Tin Shui Road,Tin Shui Wai,New Territories,,Tina,,,,Y,,,,,,,,
47,KamTai ShoppingCentre,2/15/17,商場,新界,馬鞍山,寧泰路,33號,錦泰苑商場,1樓,商場1樓,Shopping Centre 1/F,1/F,"Kam Tai Court, Shopping Arcade",33,Ning Tai Road,Ma On Shan,New Territories,,Ken,,,7:00-23:00,Y,,,,,,,,
48,SheungTakPlaza,2/15/17,商場,新界,將軍澳,唐明街,2號,尚德廣場,2樓,商場2樓,Shopping Centre 2/F,2/F,Sheung Tak Plaza,2,Tong Ming Street,Tseung Kwan O,New Territories,,Shandy,,,7:00-23:00,Y,,,,,,,,
49,711-0016,2/27/17,便利店,九龍,紅磡,民泰街 ,2-32A號,黃埔新邨黃埔新邨F及G座商場 ,地下 ,B2A-B2B，7-11便利店,"7-Eleven, B2A-B2B",G/F,"Whampoa Estate, Whampoa Estate Shopping Arcade - Block F & G ",2-32A,Man Tai Street,Hung Hom,Kowloon,,David,,13,,Y,,,,,,,,
50,711-0443,2/29/2017,便利店,新界,西貢,萬年街 ,118 號,,地下,7-11便利店,7-Eleven,G/F,,118,Man Nin Street,Sai Kung,New Territories,,Manny,,13,,Y,,,,,,,,
51,711-0861,2/29/2017,便利店,新界,大埔,大明里,1- 27號,寶華樓,地下, 1 號部份 D 及 E 舖，7-11便利店,"7-Eleven, Shop D & E, No.1",G/F,Po Wah Building,1-27,Tai Ming Lane,Tai Po,New Territories,,Boa,,13,,Y,,,,,,,,
52,711-0616,2/28/17,便利店,新界,元朗,又新街 ,38 號,恒富大廈,地下 ,12 及 13 號舖位，7-11便利店,"7-Eleven, Shop 12 & 13",G/F,Hang Fu Building,38,Yau San Street,Yuen Long,New Territories,,Hamphil,,13,,Y,,,,,,,,
53,711-1119,2/28/17,便利店,新界,元朗,元朗安寧路,65-79 號,福安樓,地下 ,C 號舖位，7-11便利店,"7-Eleven, Shop C",G/F,Fook On Building,65- 79,Yuen Long On Ning Road,Yuen Long,New Territories,,Vivian,,13,,Y,,,,,,,,
54,711-0148,2/27/17,便利店,九龍,大角咀,福全街 ,25 號,宏福樓,地下,7-11便利店,7-Eleven,G/F,Wang Fuk House,25,Fuk Tsun Street,Tai Kok Tsui,Kowloon,,Humph,,13,,Y,,,,,,,,
55,711-0688,2/29/2017,便利店,香港,香港仔,湖南街 ,11 號,,地下,7-11便利店,7-Eleven,G/F,,11,Wu Nam Street,Aberdeen,Hong Kong,,Woody,,13,,Y,,,,,,,,
56,711-1187,2/28/17,便利店,新界,屯門,景峰徑,2號,景峰花園,地下 ,G09 及 G10號舖位 ，7-11便利店,"7-Eleven, Shop G09 & G10",G/F,Prime View Garden,2,King Fung Path,Tuen Mun,New Territories,,Kera,,13,,Y,,,,,,,,
57,711-0083,2/27/17,便利店,九龍,慈雲山,芳華里, 1-11 號,毓華樓,地下 ,D 舖，7-11便利店,"7-Eleven, Shop D",G/F,Yuk Wah House,1- 11,Fong Wah Lane,Tsz Wan Shan,Kowloon,,,,13,,Y,,,,,,,,
58,Residence88,3/1/17,住宅,新界,元朗,鳳翔路,88號,譽88,,會所接待處則,Next to the reception centre in Club House,,Residence 88,88,Fung Cheung Road,Yuen Long,New Territories,,Barbie,,,,N,,,,,,,,
59,ClagueGardenEstate,3/1/17,住宅,新界,荃灣,海盛路,30號,祈德尊新邨,平台,平台,Podium,Podium,Clague Garden Estate,30,Hoi Shing Road,Tsuen Wan,New Territories,,Keda,,,24,Y,,,,,,,,
60,CenturyLink,3/1/17,住宅,新界,東涌,迎康街,6號,東環,,會所,Club House,,,,,Tung Chung,New Territories,Y,Douglas,,,,N,,,,,,,,
61,SaddleRidgeGarden,3/1/17,住宅,新界,馬鞍山,錦英路,6號,富寶花園,,,,,Saddle Ridge Garden,6,Kam Ying Road,Ma On Shan,New Territories,,Bobo,,,24,N,,,,,,,,
62,711-0434,TBC,便利店,新界,馬鞍山,西沙路,608號,海柏花園馬鞍山廣場,2樓,201-202舖，7-11便利店,"7-Eleven, Shop 201-202",2/F,"Ma On Shan Plaza, Bayshore Towers",608,Sai Sha Road,Ma On Shan,New Territories,N,,,13,24,Y,,,,,,,,正面
63,711-1366,TBC,便利店,新界,荃灣,荃景圍,187-195號,荃威花園第一期,地下,7號舖，7-11便利店,"7-Eleven, Shop 7",G/F,Allway Gardens,187-195,Tsuen King Circuit,Tsuen Wan,New Territories,N,Wayne,,13,24,Y,,,,,,,,正面
64,711-0312,TBC,便利店,新界,青衣,細山路,2-16號,美景花園中座,,第3-4&17-20號舖，7-11便利店,"7-Eleven, Shop 3-4 & 17-20",,"Central Block, Mayfair Gardens",2-16,Sai Shan Road,Kwai Tsing,New Territories,N,Macy,,13,24,Y,,,,,,,,3面
65,711-0247,TBC,便利店,新界,上水,天平路,48號,天平邨購物商場,,116號舖，7-11便利店,"7-Eleven, Shop 116",,Tin Ping Estate Shopping Centre,48,Tin Ping Road,Sheung Shui,New Territories,N,Tippie,,13,24,Y,,,,,,,,正面+右面
66,711-0388,TBC,便利店,香港,北角,七姊妹道,180-182號,健康邨,地下,A舖，7-11便利店,"7-Eleven, Shop A",G/F,Happy Village,180-182,Tsat Tsz Mui Road,North Point,Hong Kong,N,Ken,,13,24,Y,,,,,,,,3面
67,711-0150,TBC,便利店,香港,上環,干諾道中,168-200號,信德中心G01,2樓,232舖，7-11便利店,"7-Eleven, Shop 232",2/F,Shun Tak Centre G01,168-200,Connaught Road Central,Sheung Wan,Hong Kong,N,,,13,24,Y,,,,,,,,正面+右面
68,711-1306,TBC,便利店,香港,灣仔,港灣道,30號,新鴻基中心,1樓,134至135號舖，7-11便利店,"7-Eleven, Shop 134-135",1/F,Sun Hung Kai Centre,30,Harbour Road,Wan Chai,Hong Kong,N,,,13,7:00-23:00,Y,,,,,,,,正面+左面
69,Riva,,住宅,新界,元朗,映河路,1號,爾巒,平台,會所通道,Club House Corridor,Podium,Riva,1,Ying Ho Road,Yuen Long,New Territories,Y,Riva,,,,N,,,,,,,,
70,YatTungShoppingCentre,,商場,新界,東涌,,,逸東(2)邨逸東商場2,2樓,,,2/F,"Yat Tung (2) Estate, Yat Tung Shopping Centre 2",,,Tung Chung,New Territories,,Allen,,,7:00-23:00,Y,,,,,,,,
71,SummitTerrace,,住宅,新界,荃灣,安育路,1-2號,翠豐臺,,,,,Summit Terrace,1-2,On Yuk Road,Tsuen Wan,New Territories,Y,Triumph,,,24,N,,,,,,,,
